difficulty,block_number,nonce,hash,attempts,mining_time
5,20,628933,00000630593ef5672abd43b88b5c2a0042acef9fdc2fa0148880a06f344646a0,628934,0.39086070004850626
5,21,1080470,000008b693994d96cb62fed264c2937e2e1646bbd6fe7f191b10d75a4a7d93fb,1080471,0.6919242000440136
5,22,1508130,0000002e5fd298f936e21df14f6eb8eb976de6111b56ab560b7902eb12a3d9fb,1508131,1.0023902000393718
5,23,2508441,00000f711741fa31b1ceba0d2d537aa6a912f8e0b6a77b268dafa559560305fd,2508442,1.5956578999757767
5,24,481703,0000050c534fd17c9214db2dea5032e55345c323a20c4a079eed70765de53769,481704,0.3248341999715194
5,25,3033366,0000078affb6b843f13af78ee161e3fa7f78b3c5cc2453d0f211d1de25acea16,3033367,1.9569582000840455
5,26,866838,000006a0b1a1f90a7bb6fa2a6d887bc67cbf27743610bd97955f54f62610655a,866839,0.5468258999753743
5,27,199236,0000033f72e44b03ea621066917c0d142badf7e8280e325eab0aa41155ee80a2,199237,0.12756369996350259
5,28,1171303,00000f8ce1bafaa43e01d966c01f4d7d15f3bafd762653260aa51c5e4a2771d2,1171304,0.7404461998958141
5,29,1245593,00000a5178b6326f549f9e91be07252e9a65ecb34d2dbd26fa96e16d39cc2c19,1245594,0.7894661000464112
5,30,307874,00000d95b85a93916d52513201e5799d06976b37a1b4a3f34ca25eae53cc0a16,307875,0.19215050002094358
